,Province,Year,Age,Total,Male,Female
1143,Gangwon State,2019,Total,440683,248979,191704
1144,Gangwon State,2019,Under 30 years,7283,4362,2921
1145,Gangwon State,2019,30-39 Years old,40833,24402,16431
1146,Gangwon State,2019,40-49 Years old,85155,46874,38281
1147,Gangwon State,2019,50-59 Years old,111583,59812,51771
1148,Gangwon State,2019,60-69 Years old,98790,55681,43109
1149,Gangwon State,2019,70-79 Years old,60576,34143,26433
1150,Gangwon State,2019,80 years and over,23682,12921,10761
1151,Gangwon State,2019,dead,12781,10784,1997
1152,Gangwon State,2020,Total,459542,257233,202309
1153,Gangwon State,2020,Under 30 years,7724,4603,3121
1154,Gangwon State,2020,30-39 Years old,41717,25143,16574
1155,Gangwon State,2020,40-49 Years old,87067,47785,39282
1156,Gangwon State,2020,50-59 Years old,113661,60282,53379
1157,Gangwon State,2020,60-69 Years old,108743,60326,48417
1158,Gangwon State,2020,70-79 Years old,61333,34030,27303
1159,Gangwon State,2020,80 years and over,26458,14222,12236
1160,Gangwon State,2020,dead,12839,10842,1997
1161,Gangwon State,2021,Total,473451,262062,211389
1162,Gangwon State,2021,Under 30 years,8322,4933,3389
1163,Gangwon State,2021,30-39 Years old,41452,24791,16661
1164,Gangwon State,2021,40-49 Years old,87150,48000,39150
1165,Gangwon State,2021,50-59 Years old,114899,60339,54560
1166,Gangwon State,2021,60-69 Years old,119415,65291,54124
1167,Gangwon State,2021,70-79 Years old,61227,33410,27817
1168,Gangwon State,2021,80 years and over,28982,15351,13631
1169,Gangwon State,2021,dead,12004,9947,2057
1170,Gangwon State,2022,Total,484622,266033,218589
1171,Gangwon State,2022,Under 30 years,8125,4773,3352
1172,Gangwon State,2022,30-39 Years old,40067,23992,16075
1173,Gangwon State,2022,40-49 Years old,86981,47981,39000
1174,Gangwon State,2022,50-59 Years old,116590,60856,55734
1175,Gangwon State,2022,60-69 Years old,124057,66767,57290
1176,Gangwon State,2022,70-79 Years old,64660,35114,29546
1177,Gangwon State,2022,80 years and over,31959,16564,15395
1178,Gangwon State,2022,dead,12183,9986,2197
1179,Gangwon State,2023,Total,492745,268674,224071
1180,Gangwon State,2023,Under 30 years,7320,4228,3092
1181,Gangwon State,2023,30-39 Years old,38142,22966,15176
1182,Gangwon State,2023,40-49 Years old,85150,47225,37925
1183,Gangwon State,2023,50-59 Years old,117956,61466,56490
1184,Gangwon State,2023,60-69 Years old,130108,69250,60858
1185,Gangwon State,2023,70-79 Years old,67344,36155,31189
1186,Gangwon State,2023,80 years and over,34456,17461,16995
1187,Gangwon State,2023,dead,12269,9923,2346
1188,Chungcheongbuk-do,2012,Total,385708,237524,148184
1189,Chungcheongbuk-do,2012,Under 30 years,9237,5446,3791
1190,Chungcheongbuk-do,2012,30-39 Years old,59838,35564,24274
1191,Chungcheongbuk-do,2012,40-49 Years old,93530,54934,38596
1192,Chungcheongbuk-do,2012,50-59 Years old,98469,60011,38458
1193,Chungcheongbuk-do,2012,60-69 Years old,60288,37660,22628
1194,Chungcheongbuk-do,2012,70-79 Years old,42312,26690,15622
1195,Chungcheongbuk-do,2012,80 years and over,9693,6185,3508
1196,Chungcheongbuk-do,2012,dead,12341,11034,1307
1197,Chungcheongbuk-do,2013,Total,401423,244921,156502
1198,Chungcheongbuk-do,2013,Under 30 years,8394,4969,3425
1199,Chungcheongbuk-do,2013,30-39 Years old,59327,35361,23966
1200,Chungcheongbuk-do,2013,40-49 Years old,96704,55759,40945
1201,Chungcheongbuk-do,2013,50-59 Years old,103009,61856,41153
1202,Chungcheongbuk-do,2013,60-69 Years old,63556,39254,24302
1203,Chungcheongbuk-do,2013,70-79 Years old,45671,28516,17155
1204,Chungcheongbuk-do,2013,80 years and over,11346,7187,4159
1205,Chungcheongbuk-do,2013,dead,13416,12019,1397
1206,Chungcheongbuk-do,2014,Total,406834,245502,161332
1207,Chungcheongbuk-do,2014,Under 30 years,8117,4844,3273
1208,Chungcheongbuk-do,2014,30-39 Years old,57621,34581,23040
1209,Chungcheongbuk-do,2014,40-49 Years old,98636,56192,42444
1210,Chungcheongbuk-do,2014,50-59 Years old,103913,61213,42700
1211,Chungcheongbuk-do,2014,60-69 Years old,66236,40330,25906
1212,Chungcheongbuk-do,2014,70-79 Years old,45956,28094,17862
1213,Chungcheongbuk-do,2014,80 years and over,11274,6675,4599
1214,Chungcheongbuk-do,2014,dead,15081,13573,1508
1215,Chungcheongbuk-do,2015,Total,414536,246527,168009
1216,Chungcheongbuk-do,2015,Under 30 years,9364,5507,3857
1217,Chungcheongbuk-do,2015,30-39 Years old,57414,34702,22712
1218,Chungcheongbuk-do,2015,40-49 Years old,99532,56014,43518
1219,Chungcheongbuk-do,2015,50-59 Years old,106136,61083,45053
1220,Chungcheongbuk-do,2015,60-69 Years old,69810,41654,28156
1221,Chungcheongbuk-do,2015,70-79 Years old,45046,27066,17980
1222,Chungcheongbuk-do,2015,80 years and over,12453,7247,5206
1223,Chungcheongbuk-do,2015,dead,14781,13254,1527
1224,Chungcheongbuk-do,2016,Total,426272,251799,174473
1225,Chungcheongbuk-do,2016,Under 30 years,8154,4809,3345
1226,Chungcheongbuk-do,2016,30-39 Years old,55380,33740,21640
1227,Chungcheongbuk-do,2016,40-49 Years old,99235,55320,43915
1228,Chungcheongbuk-do,2016,50-59 Years old,109299,61925,47374
1229,Chungcheongbuk-do,2016,60-69 Years old,76707,45297,31410
1230,Chungcheongbuk-do,2016,70-79 Years old,46837,27909,18928
1231,Chungcheongbuk-do,2016,80 years and over,14734,8541,6193
1232,Chungcheongbuk-do,2016,dead,15926,14258,1668
1233,Chungcheongbuk-do,2017,Total,441796,259881,181915
1234,Chungcheongbuk-do,2017,Under 30 years,7929,4728,3201
1235,Chungcheongbuk-do,2017,30-39 Years old,53726,32964,20762
1236,Chungcheongbuk-do,2017,40-49 Years old,99499,55534,43965
1237,Chungcheongbuk-do,2017,50-59 Years old,112553,62952,49601
1238,Chungcheongbuk-do,2017,60-69 Years old,83781,49138,34643
1239,Chungcheongbuk-do,2017,70-79 Years old,50509,29912,20597
1240,Chungcheongbuk-do,2017,80 years and over,17219,9903,7316
1241,Chungcheongbuk-do,2017,dead,16580,14750,1830
1242,Chungcheongbuk-do,2018,Total,453048,264455,188593
1243,Chungcheongbuk-do,2018,Under 30 years,8448,5033,3415
1244,Chungcheongbuk-do,2018,30-39 Years old,53446,33129,20317
1245,Chungcheongbuk-do,2018,40-49 Years old,98949,55472,43477
1246,Chungcheongbuk-do,2018,50-59 Years old,115498,63364,52134
1247,Chungcheongbuk-do,2018,60-69 Years old,89050,51424,37626
1248,Chungcheongbuk-do,2018,70-79 Years old,52064,30552,21512
1249,Chungcheongbuk-do,2018,80 years and over,19846,11630,8216
1250,Chungcheongbuk-do,2018,dead,15747,13851,1896
1251,Chungcheongbuk-do,2019,Total,469366,272467,196899
1252,Chungcheongbuk-do,2019,Under 30 years,8596,5141,3455
1253,Chungcheongbuk-do,2019,30-39 Years old,53270,33178,20092
1254,Chungcheongbuk-do,2019,40-49 Years old,99145,55953,43192
1255,Chungcheongbuk-do,2019,50-59 Years old,120105,64977,55128
1256,Chungcheongbuk-do,2019,60-69 Years old,95320,54338,40982
1257,Chungcheongbuk-do,2019,70-79 Years old,54017,31371,22646
1258,Chungcheongbuk-do,2019,80 years and over,22319,12950,9369
1259,Chungcheongbuk-do,2019,dead,16594,14559,2035
1260,Chungcheongbuk-do,2020,Total,482771,277872,204899
1261,Chungcheongbuk-do,2020,Under 30 years,9023,5390,3633
1262,Chungcheongbuk-do,2020,30-39 Years old,52281,32620,19661
1263,Chungcheongbuk-do,2020,40-49 Years old,99825,56455,43370
1264,Chungcheongbuk-do,2020,50-59 Years old,121707,65266,56441
1265,Chungcheongbuk-do,2020,60-69 Years old,103199,57780,45419
1266,Chungcheongbuk-do,2020,70-79 Years old,55469,31745,23724
1267,Chungcheongbuk-do,2020,80 years and over,24319,13815,10504
1268,Chungcheongbuk-do,2020,dead,16948,14801,2147
1269,Chungcheongbuk-do,2021,Total,493366,281033,212333
1270,Chungcheongbuk-do,2021,Under 30 years,9427,5566,3861
1271,Chungcheongbuk-do,2021,30-39 Years old,50632,31642,18990
1272,Chungcheongbuk-do,2021,40-49 Years old,98494,55985,42509
1273,Chungcheongbuk-do,2021,50-59 Years old,121898,64540,57358
1274,Chungcheongbuk-do,2021,60-69 Years old,113736,62734,51002
1275,Chungcheongbuk-do,2021,70-79 Years old,56323,31675,24648
1276,Chungcheongbuk-do,2021,80 years and over,26626,14796,11830
1277,Chungcheongbuk-do,2021,dead,16230,14095,2135
1278,Chungcheongbuk-do,2022,Total,499702,283001,216701
1279,Chungcheongbuk-do,2022,Under 30 years,8834,5158,3676
1280,Chungcheongbuk-do,2022,30-39 Years old,47183,29741,17442
1281,Chungcheongbuk-do,2022,40-49 Years old,98013,56063,41950
1282,Chungcheongbuk-do,2022,50-59 Years old,122193,64349,57844
1283,Chungcheongbuk-do,2022,60-69 Years old,118519,64776,53743
1284,Chungcheongbuk-do,2022,70-79 Years old,59342,32952,26390
1285,Chungcheongbuk-do,2022,80 years and over,29426,16047,13379
1286,Chungcheongbuk-do,2022,dead,16192,13915,2277
1287,Chungcheongbuk-do,2023,Total,511649,288100,223549
1288,Chungcheongbuk-do,2023,Under 30 years,8448,4921,3527
1289,Chungcheongbuk-do,2023,30-39 Years old,46355,29397,16958
1290,Chungcheongbuk-do,2023,40-49 Years old,97472,56268,41204
1291,Chungcheongbuk-do,2023,50-59 Years old,125774,65878,59896
1292,Chungcheongbuk-do,2023,60-69 Years old,123909,66990,56919
1293,Chungcheongbuk-do,2023,70-79 Years old,62231,34183,28048
1294,Chungcheongbuk-do,2023,80 years and over,31366,16729,14637
1295,Chungcheongbuk-do,2023,dead,16094,13734,2360
1296,Chungcheongnam-do,2012,Total,476502,299319,177183
1297,Chungcheongnam-do,2012,Under 30 years,11168,6249,4919
1298,Chungcheongnam-do,2012,30-39 Years old,74652,45989,28663
1299,Chungcheongnam-do,2012,40-49 Years old,109195,65560,43635
1300,Chungcheongnam-do,2012,50-59 Years old,110639,68177,42462
1301,Chungcheongnam-do,2012,60-69 Years old,76934,48831,28103
1302,Chungcheongnam-do,2012,70-79 Years old,58976,37285,21691
1303,Chungcheongnam-do,2012,80 years and over,15490,9791,5699
1304,Chungcheongnam-do,2012,dead,19448,17437,2011
1305,Chungcheongnam-do,2013,Total,498651,312012,186639
1306,Chungcheongnam-do,2013,Under 30 years,10145,5727,4418
1307,Chungcheongnam-do,2013,30-39 Years old,73508,45464,28044
1308,Chungcheongnam-do,2013,40-49 Years old,112831,67108,45723
1309,Chungcheongnam-do,2013,50-59 Years old,117645,71783,45862
1310,Chungcheongnam-do,2013,60-69 Years old,80990,51050,29940
1311,Chungcheongnam-do,2013,70-79 Years old,63375,39789,23586
1312,Chungcheongnam-do,2013,80 years and over,18701,11844,6857
1313,Chungcheongnam-do,2013,dead,21456,19247,2209
