,Province,Year,Age,Total,Male,Female
1403,Chungcheongnam-do,2023,dead,25091,21445,3646
1404,Jeollabuk-do,2012,Total,464225,277419,186806
1405,Jeollabuk-do,2012,Under 30 years,10317,6060,4257
1406,Jeollabuk-do,2012,30-39 Years old,62149,35732,26417
1407,Jeollabuk-do,2012,40-49 Years old,102430,56888,45542
1408,Jeollabuk-do,2012,50-59 Years old,108315,62900,45415
1409,Jeollabuk-do,2012,60-69 Years old,81598,50001,31597
1410,Jeollabuk-do,2012,70-79 Years old,60397,36212,24185
1411,Jeollabuk-do,2012,80 years and over,16327,9826,6501
1412,Jeollabuk-do,2012,dead,22692,19800,2892
1413,Jeollabuk-do,2013,Total,483582,286816,196766
1414,Jeollabuk-do,2013,Under 30 years,9306,5482,3824
1415,Jeollabuk-do,2013,30-39 Years old,60409,35106,25303
1416,Jeollabuk-do,2013,40-49 Years old,105950,58324,47626
1417,Jeollabuk-do,2013,50-59 Years old,114456,65382,49074
1418,Jeollabuk-do,2013,60-69 Years old,85266,51678,33588
1419,Jeollabuk-do,2013,70-79 Years old,64973,38587,26386
1420,Jeollabuk-do,2013,80 years and over,19193,11306,7887
1421,Jeollabuk-do,2013,dead,24029,20951,3078
1422,Jeollabuk-do,2014,Total,488326,286915,201411
1423,Jeollabuk-do,2014,Under 30 years,8618,5070,3548
1424,Jeollabuk-do,2014,30-39 Years old,57620,33755,23865
1425,Jeollabuk-do,2014,40-49 Years old,108582,59356,49226
1426,Jeollabuk-do,2014,50-59 Years old,115409,64774,50635
1427,Jeollabuk-do,2014,60-69 Years old,87724,52467,35257
1428,Jeollabuk-do,2014,70-79 Years old,65156,38236,26920
1429,Jeollabuk-do,2014,80 years and over,19717,11019,8698
1430,Jeollabuk-do,2014,dead,25500,22238,3262
1431,Jeollabuk-do,2015,Total,500617,289859,210758
1432,Jeollabuk-do,2015,Under 30 years,10981,6319,4662
1433,Jeollabuk-do,2015,30-39 Years old,58855,34643,24212
1434,Jeollabuk-do,2015,40-49 Years old,111042,60140,50902
1435,Jeollabuk-do,2015,50-59 Years old,117697,64527,53170
1436,Jeollabuk-do,2015,60-69 Years old,92572,54292,38280
1437,Jeollabuk-do,2015,70-79 Years old,63522,36787,26735
1438,Jeollabuk-do,2015,80 years and over,21145,11607,9538
1439,Jeollabuk-do,2015,dead,24803,21544,3259
1440,Jeollabuk-do,2016,Total,503407,290112,213295
1441,Jeollabuk-do,2016,Under 30 years,9018,5252,3766
1442,Jeollabuk-do,2016,30-39 Years old,56093,33360,22733
1443,Jeollabuk-do,2016,40-49 Years old,109665,59190,50475
1444,Jeollabuk-do,2016,50-59 Years old,118757,64200,54557
1445,Jeollabuk-do,2016,60-69 Years old,96008,55484,40524
1446,Jeollabuk-do,2016,70-79 Years old,64299,37151,27148
1447,Jeollabuk-do,2016,80 years and over,23476,12840,10636
1448,Jeollabuk-do,2016,dead,26091,22635,3456
1449,Jeollabuk-do,2017,Total,519633,298674,220959
1450,Jeollabuk-do,2017,Under 30 years,8694,5074,3620
1451,Jeollabuk-do,2017,30-39 Years old,53677,32256,21421
1452,Jeollabuk-do,2017,40-49 Years old,109347,59322,50025
1453,Jeollabuk-do,2017,50-59 Years old,121451,64950,56501
1454,Jeollabuk-do,2017,60-69 Years old,100860,57802,43058
1455,Jeollabuk-do,2017,70-79 Years old,70958,40943,30015
1456,Jeollabuk-do,2017,80 years and over,27654,15114,12540
1457,Jeollabuk-do,2017,dead,26992,23213,3779
1458,Jeollabuk-do,2018,Total,529293,301871,227422
1459,Jeollabuk-do,2018,Under 30 years,8626,4974,3652
1460,Jeollabuk-do,2018,30-39 Years old,52814,31978,20836
1461,Jeollabuk-do,2018,40-49 Years old,107980,58686,49294
1462,Jeollabuk-do,2018,50-59 Years old,125021,65982,59039
1463,Jeollabuk-do,2018,60-69 Years old,103886,58651,45235
1464,Jeollabuk-do,2018,70-79 Years old,73373,41924,31449
1465,Jeollabuk-do,2018,80 years and over,31180,17192,13988
1466,Jeollabuk-do,2018,dead,26413,22484,3929
1467,Jeollabuk-do,2019,Total,536922,303896,233026
1468,Jeollabuk-do,2019,Under 30 years,8246,4737,3509
1469,Jeollabuk-do,2019,30-39 Years old,50317,30487,19830
1470,Jeollabuk-do,2019,40-49 Years old,106716,58298,48418
1471,Jeollabuk-do,2019,50-59 Years old,127178,66537,60641
1472,Jeollabuk-do,2019,60-69 Years old,108256,60185,48071
1473,Jeollabuk-do,2019,70-79 Years old,75294,42440,32854
1474,Jeollabuk-do,2019,80 years and over,34076,18515,15561
1475,Jeollabuk-do,2019,dead,26839,22697,4142
1476,Jeollabuk-do,2020,Total,548245,307511,240734
1477,Jeollabuk-do,2020,Under 30 years,8286,4710,3576
1478,Jeollabuk-do,2020,30-39 Years old,48116,28996,19120
