"Province","Year","Age",Total,Male,Female
"Gwangju","2014","60-69 Years old",57399,32400,24999
"Gwangju","2014","70-79 Years old",34151,19002,15149
"Gwangju","2014","80 years and over",8144,4122,4022
"Gwangju","2014","dead",6351,5105,1246
"Gwangju","2015","Total",386295,208743,177552
"Gwangju","2015","Under 30 years",8715,4885,3830
"Gwangju","2015","30-39 Years old",62407,35597,26810
"Gwangju","2015","40-49 Years old",106943,54950,51993
"Gwangju","2015","50-59 Years old",95553,50154,45399
"Gwangju","2015","60-69 Years old",61440,33767,27673
"Gwangju","2015","70-79 Years old",35923,19889,16034
"Gwangju","2015","80 years and over",9260,4671,4589
"Gwangju","2015","dead",6054,4830,1224
"Gwangju","2016","Total",393535,211029,182506
"Gwangju","2016","Under 30 years",8066,4546,3520
"Gwangju","2016","30-39 Years old",59862,34404,25458
"Gwangju","2016","40-49 Years old",107212,54958,52254
"Gwangju","2016","50-59 Years old",99482,51413,48069
"Gwangju","2016","60-69 Years old",64460,34778,29682
"Gwangju","2016","70-79 Years old",37600,20656,16944
"Gwangju","2016","80 years and over",10707,5381,5326
"Gwangju","2016","dead",6146,4893,1253
"Gwangju","2017","Total",399189,212848,186341
"Gwangju","2017","Under 30 years",7966,4459,3507
"Gwangju","2017","30-39 Years old",57105,33168,23937
"Gwangju","2017","40-49 Years old",107398,55154,52244
"Gwangju","2017","50-59 Years old",101452,51701,49751
"Gwangju","2017","60-69 Years old",67059,35730,31329
"Gwangju","2017","70-79 Years old",40068,21763,18305
"Gwangju","2017","80 years and over",11884,5918,5966
"Gwangju","2017","dead",6257,4955,1302
"Gwangju","2018","Total",406703,214953,191750
"Gwangju","2018","Under 30 years",8465,4743,3722
"Gwangju","2018","30-39 Years old",56703,33203,23500
"Gwangju","2018","40-49 Years old",105963,54653,51310
"Gwangju","2018","50-59 Years old",104883,52503,52380
"Gwangju","2018","60-69 Years old",69594,36249,33345
"Gwangju","2018","70-79 Years old",41916,22381,19535
"Gwangju","2018","80 years and over",13217,6565,6652
"Gwangju","2018","dead",5962,4656,1306
"Gwangju","2019","Total",414198,217349,196849
"Gwangju","2019","Under 30 years",8522,4762,3760
"Gwangju","2019","30-39 Years old",54170,31893,22277
"Gwangju","2019","40-49 Years old",105585,54868,50717
"Gwangju","2019","50-59 Years old",107579,53267,54312
"Gwangju","2019","60-69 Years old",73588,37616,35972
"Gwangju","2019","70-79 Years old",44173,23144,21029
"Gwangju","2019","80 years and over",14901,7375,7526
"Gwangju","2019","dead",5680,4424,1256
"Gwangju","2020","Total",419407,218556,200851
"Gwangju","2020","Under 30 years",8512,4686,3826
"Gwangju","2020","30-39 Years old",50792,29932,20860
"Gwangju","2020","40-49 Years old",104631,54734,49897
"Gwangju","2020","50-59 Years old",107970,53042,54928
"Gwangju","2020","60-69 Years old",78791,39598,39193
"Gwangju","2020","70-79 Years old",46019,23825,22194
"Gwangju","2020","80 years and over",16651,8123,8528
"Gwangju","2020","dead",6041,4616,1425
"Gwangju","2021","Total",430443,222863,207580
"Gwangju","2021","Under 30 years",9260,5088,4172
"Gwangju","2021","30-39 Years old",49538,29331,20207
"Gwangju","2021","40-49 Years old",104279,55223,49056
"Gwangju","2021","50-59 Years old",111066,54160,56906
"Gwangju","2021","60-69 Years old",84374,41478,42896
"Gwangju","2021","70-79 Years old",47463,24172,23291
"Gwangju","2021","80 years and over",18664,9012,9652
"Gwangju","2021","dead",5799,4399,1400
"Gwangju","2022","Total",436853,225185,211668
"Gwangju","2022","Under 30 years",8928,4819,4109
"Gwangju","2022","30-39 Years old",46778,27743,19035
"Gwangju","2022","40-49 Years old",103348,55439,47909
"Gwangju","2022","50-59 Years old",113932,55413,58519
"Gwangju","2022","60-69 Years old",87557,42529,45028
"Gwangju","2022","70-79 Years old",48912,24470,24442
"Gwangju","2022","80 years and over",21481,10358,11123
"Gwangju","2022","dead",5917,4414,1503
"Gwangju","2023","Total",443367,227412,215955
"Gwangju","2023","Under 30 years",8268,4454,3814
"Gwangju","2023","30-39 Years old",44358,26281,18077
"Gwangju","2023","40-49 Years old",101839,55506,46333
"Gwangju","2023","50-59 Years old",116613,56571,60042
"Gwangju","2023","60-69 Years old",92269,44231,48038
"Gwangju","2023","70-79 Years old",50861,24935,25926
"Gwangju","2023","80 years and over",23294,11087,12207
"Gwangju","2023","dead",5865,4347,1518
"Daejeon","2012","Total",359070,206642,152428
"Daejeon","2012","Under 30 years",9047,5059,3988
"Daejeon","2012","30-39 Years old",63974,36310,27664
"Daejeon","2012","40-49 Years old",100457,56695,43762
"Daejeon","2012","50-59 Years old",95804,55415,40389
"Daejeon","2012","60-69 Years old",51609,30602,21007
"Daejeon","2012","70-79 Years old",28486,16353,12133
"Daejeon","2012","80 years and over",5993,3256,2737
"Daejeon","2012","dead",3700,2952,748
"Daejeon","2013","Total",366120,208817,157303
"Daejeon","2013","Under 30 years",7962,4491,3471
"Daejeon","2013","30-39 Years old",60891,34409,26482
"Daejeon","2013","40-49 Years old",102219,56958,45261
"Daejeon","2013","50-59 Years old",99050,56571,42479
"Daejeon","2013","60-69 Years old",54267,31891,22376
"Daejeon","2013","70-79 Years old",30873,17639,13234
"Daejeon","2013","80 years and over",6940,3731,3209
"Daejeon","2013","dead",3918,3127,791
"Daejeon","2014","Total",380020,215380,164640
"Daejeon","2014","Under 30 years",7841,4456,3385
"Daejeon","2014","30-39 Years old",60169,34222,25947
"Daejeon","2014","40-49 Years old",106227,58811,47416
"Daejeon","2014","50-59 Years old",102718,58002,44716
"Daejeon","2014","60-69 Years old",58302,33889,24413
"Daejeon","2014","70-79 Years old",32776,18606,14170
"Daejeon","2014","80 years and over",7832,4084,3748
"Daejeon","2014","dead",4155,3310,845
"Daejeon","2015","Total",391520,219531,171989
"Daejeon","2015","Under 30 years",8237,4695,3542
"Daejeon","2015","30-39 Years old",59323,33874,25449
"Daejeon","2015","40-49 Years old",107544,59034,48510
"Daejeon","2015","50-59 Years old",104738,57898,46840
"Daejeon","2015","60-69 Years old",63858,36531,27327
"Daejeon","2015","70-79 Years old",34584,19491,15093
"Daejeon","2015","80 years and over",9227,4839,4388
"Daejeon","2015","dead",4009,3169,840
"Daejeon","2016","Total",395168,219542,175626
"Daejeon","2016","Under 30 years",7469,4273,3196
"Daejeon","2016","30-39 Years old",56647,32669,23978
"Daejeon","2016","40-49 Years old",107383,58371,49012
"Daejeon","2016","50-59 Years old",105318,57305,48013
"Daejeon","2016","60-69 Years old",68089,38354,29735
"Daejeon","2016","70-79 Years old",35675,19909,15766
"Daejeon","2016","80 years and over",10576,5483,5093
"Daejeon","2016","dead",4011,3178,833
"Daejeon","2017","Total",394868,217981,176887
"Daejeon","2017","Under 30 years",7142,4096,3046
"Daejeon","2017","30-39 Years old",52047,30216,21831
"Daejeon","2017","40-49 Years old",105453,57063,48390
"Daejeon","2017","50-59 Years old",104986,56349,48637
"Daejeon","2017","60-69 Years old",71603,40030,31573
"Daejeon","2017","70-79 Years old",37610,20800,16810
"Daejeon","2017","80 years and over",11834,6132,5702
"Daejeon","2017","dead",4193,3295,898
"Daejeon","2018","Total",402344,219888,182456
"Daejeon","2018","Under 30 years",7282,4100,3182
"Daejeon","2018","30-39 Years old",51337,29993,21344
"Daejeon","2018","40-49 Years old",103574,55868,47706
"Daejeon","2018","50-59 Years old",107625,56759,50866
"Daejeon","2018","60-69 Years old",75127,41270,33857
"Daejeon","2018","70-79 Years old",39704,21652,18052
"Daejeon","2018","80 years and over",13484,6971,6513
"Daejeon","2018","dead",4211,3275,936
"Daejeon","2019","Total",404201,219331,184870
"Daejeon","2019","Under 30 years",6983,3883,3100
"Daejeon","2019","30-39 Years old",47835,28041,19794
"Daejeon","2019","40-49 Years old",100630,54428,46202
"Daejeon","2019","50-59 Years old",108958,57002,51956
"Daejeon","2019","60-69 Years old",78809,42453,36356
"Daejeon","2019","70-79 Years old",41447,22388,19059
"Daejeon","2019","80 years and over",15119,7745,7374
"Daejeon","2019","dead",4420,3391,1029
"Daejeon","2020","Total",410730,220324,190406
"Daejeon","2020","Under 30 years",7698,4250,3448
"Daejeon","2020","30-39 Years old",45973,26758,19215
"Daejeon","2020","40-49 Years old",99515,53625,45890
"Daejeon","2020","50-59 Years old",109112,56710,52402
"Daejeon","2020","60-69 Years old",83907,44182,39725
"Daejeon","2020","70-79 Years old",43716,23235,20481
"Daejeon","2020","80 years and over",16465,8269,8196
"Daejeon","2020","dead",4344,3295,1049
"Daejeon","2021","Total",418833,222952,195881
"Daejeon","2021","Under 30 years",8595,4671,3924
"Daejeon","2021","30-39 Years old",44516,26017,18499
"Daejeon","2021","40-49 Years old",97430,52575,44855
"Daejeon","2021","50-59 Years old",109965,56792,53173
"Daejeon","2021","60-69 Years old",90860,47018,43842
"Daejeon","2021","70-79 Years old",45094,23747,21347
"Daejeon","2021","80 years and over",18164,8989,9175
"Daejeon","2021","dead",4209,3143,1066
"Daejeon","2022","Total",425773,225651,200122
"Daejeon","2022","Under 30 years",8156,4405,3751
"Daejeon","2022","30-39 Years old",42432,24843,17589
"Daejeon","2022","40-49 Years old",96605,52431,44174
"Daejeon","2022","50-59 Years old",111527,57515,54012
"Daejeon","2022","60-69 Years old",94747,48493,46254
"Daejeon","2022","70-79 Years old",46827,24373,22454
"Daejeon","2022","80 years and over",20784,10167,10617
"Daejeon","2022","dead",4695,3424,1271
"Daejeon","2023","Total",433503,229165,204338
"Daejeon","2023","Under 30 years",7519,4071,3448
"Daejeon","2023","30-39 Years old",41159,24106,17053
"Daejeon","2023","40-49 Years old",95104,52190,42914
"Daejeon","2023","50-59 Years old",114589,58972,55617
"Daejeon","2023","60-69 Years old",98302,49967,48335
"Daejeon","2023","70-79 Years old",49248,25439,23809
"Daejeon","2023","80 years and over",22550,10808,11742
"Daejeon","2023","dead",5032,3612,1420
"Ulsan","2012","Total",291434,180908,110526
"Ulsan","2012","Under 30 years",7736,4667,3069
"Ulsan","2012","30-39 Years old",55821,34552,21269
"Ulsan","2012","40-49 Years old",87673,53296,34377
"Ulsan","2012","50-59 Years old",81521,51670,29851
"Ulsan","2012","60-69 Years old",37214,23654,13560
"Ulsan","2012","70-79 Years old",15534,9117,6417
"Ulsan","2012","80 years and over",2733,1400,1333
"Ulsan","2012","dead",3202,2552,650
"Ulsan","2013","Total",301663,185327,116336
"Ulsan","2013","Under 30 years",6941,4238,2703
"Ulsan","2013","30-39 Years old",55216,34549,20667
"Ulsan","2013","40-49 Years old",88415,52554,35861
"Ulsan","2013","50-59 Years old",86721,54093,32628
"Ulsan","2013","60-69 Years old",40383,25398,14985
"Ulsan","2013","70-79 Years old",17378,10170,7208
"Ulsan","2013","80 years and over",3232,1637,1595
"Ulsan","2013","dead",3377,2688,689
"Ulsan","2014","Total",311549,189958,121591
"Ulsan","2014","Under 30 years",6600,4145,2455
"Ulsan","2014","30-39 Years old",55767,35277,20490
"Ulsan","2014","40-49 Years old",90026,52763,37263
"Ulsan","2014","50-59 Years old",90448,55428,35020
"Ulsan","2014","60-69 Years old",43346,27133,16213
"Ulsan","2014","70-79 Years old",18221,10553,7668
"Ulsan","2014","80 years and over",3520,1783,1737
"Ulsan","2014","dead",3621,2876,745
"Ulsan","2015","Total",325450,196542,128908
"Ulsan","2015","Under 30 years",7345,4668,2677
"Ulsan","2015","30-39 Years old",57793,37163,20630
"Ulsan","2015","40-49 Years old",90150,52026,38124
"Ulsan","2015","50-59 Years old",94702,56912,37790
"Ulsan","2015","60-69 Years old",48320,29690,18630
"Ulsan","2015","70-79 Years old",19545,11223,8322
"Ulsan","2015","80 years and over",4040,2039,2001
"Ulsan","2015","dead",3555,2821,734
"Ulsan","2016","Total",331064,198577,132487
"Ulsan","2016","Under 30 years",6763,4277,2486
"Ulsan","2016","30-39 Years old",57133,37033,20100
"Ulsan","2016","40-49 Years old",88427,50614,37813
"Ulsan","2016","50-59 Years old",97254,57768,39486
"Ulsan","2016","60-69 Years old",52624,31891,20733
"Ulsan","2016","70-79 Years old",20530,11762,8768
"Ulsan","2016","80 years and over",4672,2332,2340
"Ulsan","2016","dead",3661,2900,761
"Ulsan","2017","Total",338232,202151,136081
"Ulsan","2017","Under 30 years",6620,4200,2420
"Ulsan","2017","30-39 Years old",55865,36496,19369
"Ulsan","2017","40-49 Years old",88118,50689,37429
"Ulsan","2017","50-59 Years old",99521,58482,41039
"Ulsan","2017","60-69 Years old",56785,33937,22848
"Ulsan","2017","70-79 Years old",22455,12875,9580
"Ulsan","2017","80 years and over",5251,2632,2619
"Ulsan","2017","dead",3617,2840,777
"Ulsan","2018","Total",343884,204605,139279
"Ulsan","2018","Under 30 years",6484,4095,2389
"Ulsan","2018","30-39 Years old",54574,35866,18708
"Ulsan","2018","40-49 Years old",86770,50233,36537
"Ulsan","2018","50-59 Years old",102061,59217,42844
"Ulsan","2018","60-69 Years old",60336,35544,24792
"Ulsan","2018","70-79 Years old",24095,13849,10246
"Ulsan","2018","80 years and over",5755,2834,2921
"Ulsan","2018","dead",3809,2967,842
"Ulsan","2019","Total",351519,208416,143103
"Ulsan","2019","Under 30 years",5838,3582,2256
"Ulsan","2019","30-39 Years old",51607,34040,17567
"Ulsan","2019","40-49 Years old",86443,50513,35930
"Ulsan","2019","50-59 Years old",104087,59803,44284
"Ulsan","2019","60-69 Years old",65819,38438,27381
"Ulsan","2019","70-79 Years old",26645,15361,11284
"Ulsan","2019","80 years and over",6916,3472,3444
"Ulsan","2019","dead",4164,3207,957
"Ulsan","2020","Total",358845,211198,147647
"Ulsan","2020","Under 30 years",6266,3819,2447
"Ulsan","2020","30-39 Years old",49085,32367,16718
"Ulsan","2020","40-49 Years old",87153,51387,35766
"Ulsan","2020","50-59 Years old",104114,59064,45050
"Ulsan","2020","60-69 Years old",71695,41197,30498
"Ulsan","2020","70-79 Years old",28610,16365,12245
"Ulsan","2020","80 years and over",7854,3920,3934
"Ulsan","2020","dead",4068,3079,989
"Ulsan","2021","Total",361641,211574,150067
"Ulsan","2021","Under 30 years",6334,3878,2456
"Ulsan","2021","30-39 Years old",45286,29639,15647
"Ulsan","2021","40-49 Years old",85807,51131,34676
"Ulsan","2021","50-59 Years old",102864,57874,44990
"Ulsan","2021","60-69 Years old",77854,44175,33679
"Ulsan","2021","70-79 Years old",30628,17443,13185
"Ulsan","2021","80 years and over",8782,4352,4430
"Ulsan","2021","dead",4086,3082,1004
"Ulsan","2022","Total",363002,211411,151591
"Ulsan","2022","Under 30 years",5692,3455,2237
"Ulsan","2022","30-39 Years old",40966,26874,14092
"Ulsan","2022","40-49 Years old",84819,51089,33730
"Ulsan","2022","50-59 Years old",101822,56816,45006
"Ulsan","2022","60-69 Years old",82197,46296,35901
"Ulsan","2022","70-79 Years old",33139,18717,14422
"Ulsan","2022","80 years and over",10226,5072,5154
"Ulsan","2022","dead",4141,3092,1049
"Ulsan","2023","Total",364550,211582,152968
"Ulsan","2023","Under 30 years",4759,2900,1859
"Ulsan","2023","30-39 Years old",36810,24162,12648
"Ulsan","2023","40-49 Years old",82728,50406,32322
"Ulsan","2023","50-59 Years old",101611,56279,45332
"Ulsan","2023","60-69 Years old",86540,48558,37982
"Ulsan","2023","70-79 Years old",35819,20129,15690
"Ulsan","2023","80 years and over",11585,5714,5871
"Ulsan","2023","dead",4698,3434,1264
"Sejong","2012","Total",27165,17277,9888
"Sejong","2012","Under 30 years",515,332,183
"Sejong","2012","30-39 Years old",4437,2738,1699
"Sejong","2012","40-49 Years old",6026,3841,2185
"Sejong","2012","50-59 Years old",6331,3953,2378
"Sejong","2012","60-69 Years old",4451,2756,1695
"Sejong","2012","70-79 Years old",3434,2176,1258
"Sejong","2012","80 years and over",921,567,354
"Sejong","2012","dead",1050,914,136
"Sejong","2013","Total",29421,18605,10816
"Sejong","2013","Under 30 years",522,332,190
"Sejong","2013","30-39 Years old",4489,2704,1785
"Sejong","2013","40-49 Years old",6840,4335,2505
"Sejong","2013","50-59 Years old",6861,4275,2586
"Sejong","2013","60-69 Years old",4757,2944,1813
"Sejong","2013","70-79 Years old",3679,2316,1363
"Sejong","2013","80 years and over",1100,672,428
"Sejong","2013","dead",1173,1027,146
"Sejong","2014","Total",33459,20745,12714
"Sejong","2014","Under 30 years",718,455,263
"Sejong","2014","30-39 Years old",5462,3244,2218
"Sejong","2014","40-49 Years old",8656,5393,3263
"Sejong","2014","50-59 Years old",7531,4556,2975
"Sejong","2014","60-69 Years old",5014,3062,1952
"Sejong","2014","70-79 Years old",3711,2278,1433
"Sejong","2014","80 years and over",1081,630,451
"Sejong","2014","dead",1286,1127,159
"Sejong","2015","Total",49659,29836,19823
"Sejong","2015","Under 30 years",1088,645,443
"Sejong","2015","30-39 Years old",10896,6363,4533
"Sejong","2015","40-49 Years old",14642,8919,5723
"Sejong","2015","50-59 Years old",10360,6014,4346
"Sejong","2015","60-69 Years old",6340,3760,2580
"Sejong","2015","70-79 Years old",3869,2356,1513
"Sejong","2015","80 years and over",1197,679,518
"Sejong","2015","dead",1267,1100,167
"Sejong","2016","Total",58322,34585,23737
"Sejong","2016","Under 30 years",1180,677,503
"Sejong","2016","30-39 Years old",12708,7529,5179
"Sejong","2016","40-49 Years old",17907,10751,7156
"Sejong","2016","50-59 Years old",12040,6832,5208
"Sejong","2016","60-69 Years old",7664,4403,3261
"Sejong","2016","70-79 Years old",4119,2439,1680
"Sejong","2016","80 years and over",1402,810,592
"Sejong","2016","dead",1302,1144,158
"Sejong","2017","Total",69759,40737,29022
"Sejong","2017","Under 30 years",1358,751,607
"Sejong","2017","30-39 Years old",15073,8753,6320
"Sejong","2017","40-49 Years old",22006,13042,8964
"Sejong","2017","50-59 Years old",14480,8099,6381
"Sejong","2017","60-69 Years old",9177,5205,3972
"Sejong","2017","70-79 Years old",4656,2742,1914
"Sejong","2017","80 years and over",1645,947,698
"Sejong","2017","dead",1364,1198,166
"Sejong","2018","Total",81225,46831,34394
"Sejong","2018","Under 30 years",1650,879,771
"Sejong","2018","30-39 Years old",17609,10190,7419
"Sejong","2018","40-49 Years old",25735,15056,10679
"Sejong","2018","50-59 Years old",17179,9488,7691
"Sejong","2018","60-69 Years old",10749,6026,4723
"Sejong","2018","70-79 Years old",5072,2915,2157
"Sejong","2018","80 years and over",1890,1115,775
"Sejong","2018","dead",1341,1162,179
"Sejong","2019","Total",87537,50056,37481
"Sejong","2019","Under 30 years",1566,806,760
"Sejong","2019","30-39 Years old",17343,10010,7333
"Sejong","2019","40-49 Years old",28177,16366,11811
"Sejong","2019","50-59 Years old",19373,10648,8725
"Sejong","2019","60-69 Years old",12027,6635,5392
"Sejong","2019","70-79 Years old",5509,3148,2361
"Sejong","2019","80 years and over",2127,1223,904
"Sejong","2019","dead",1415,1220,195
"Sejong","2020","Total",93116,52776,40340
"Sejong","2020","Under 30 years",1671,859,812
"Sejong","2020","30-39 Years old",16913,9561,7352
"Sejong","2020","40-49 Years old",30303,17468,12835
"Sejong","2020","50-59 Years old",21043,11623,9420
"Sejong","2020","60-69 Years old",13402,7299,6103
"Sejong","2020","70-79 Years old",5987,3387,2600
"Sejong","2020","80 years and over",2292,1300,992
"Sejong","2020","dead",1505,1279,226
"Sejong","2021","Total",99104,55730,43374
"Sejong","2021","Under 30 years",1793,940,853
"Sejong","2021","30-39 Years old",16371,9169,7202
"Sejong","2021","40-49 Years old",31995,18298,13697
"Sejong","2021","50-59 Years old",23097,12788,10309
"Sejong","2021","60-69 Years old",15471,8312,7159
"Sejong","2021","70-79 Years old",6277,3513,2764
"Sejong","2021","80 years and over",2530,1389,1141
"Sejong","2021","dead",1570,1321,249
"Sejong","2022","Total",113799,63267,50532
"Sejong","2022","Under 30 years",2151,1024,1127
"Sejong","2022","30-39 Years old",19119,10501,8618
"Sejong","2022","40-49 Years old",36987,20980,16007
"Sejong","2022","50-59 Years old",26680,14823,11857
"Sejong","2022","60-69 Years old",17345,9222,8123
"Sejong","2022","70-79 Years old",7070,3881,3189
"Sejong","2022","80 years and over",2886,1564,1322
"Sejong","2022","dead",1561,1272,289
"Sejong","2023","Total",119296,66130,53166
"Sejong","2023","Under 30 years",1926,959,967
"Sejong","2023","30-39 Years old",18889,10335,8554
"Sejong","2023","40-49 Years old",38697,21788,16909
"Sejong","2023","50-59 Years old",28982,16218,12764
"Sejong","2023","60-69 Years old",18633,9834,8799
"Sejong","2023","70-79 Years old",7539,4108,3431
"Sejong","2023","80 years and over",3067,1612,1455
"Sejong","2023","dead",1563,1276,287
"Gyeonggi-do","2012","Total",2723040,1574029,1149011
"Gyeonggi-do","2012","Under 30 years",65753,35235,30518
"Gyeonggi-do","2012","30-39 Years old",503531,292361,211170
"Gyeonggi-do","2012","40-49 Years old",813424,471653,341771
"Gyeonggi-do","2012","50-59 Years old",690802,406513,284289
"Gyeonggi-do","2012","60-69 Years old",366191,208100,158091
"Gyeonggi-do","2012","70-79 Years old",211918,116478,95440
"Gyeonggi-do","2012","80 years and over",44647,22986,21661
"Gyeonggi-do","2012","dead",26774,20703,6071
"Gyeonggi-do","2013","Total",2816567,1615124,1201443
"Gyeonggi-do","2013","Under 30 years",59297,31809,27488
"Gyeonggi-do","2013","30-39 Years old",486727,281969,204758
"Gyeonggi-do","2013","40-49 Years old",834748,477979,356769
"Gyeonggi-do","2013","50-59 Years old",737938,429215,308723
"Gyeonggi-do","2013","60-69 Years old",387244,219433,167811
"Gyeonggi-do","2013","70-79 Years old",230108,125915,104193
"Gyeonggi-do","2013","80 years and over",52281,26877,25404
"Gyeonggi-do","2013","dead",28224,21927,6297
"Gyeonggi-do","2014","Total",2880735,1639115,1241620
"Gyeonggi-do","2014","Under 30 years",56222,30106,26116
"Gyeonggi-do","2014","30-39 Years old",474081,275964,198117
"Gyeonggi-do","2014","40-49 Years old",851111,482304,368807
"Gyeonggi-do","2014","50-59 Years old",764786,438104,326682
"Gyeonggi-do","2014","60-69 Years old",406636,229417,177219
"Gyeonggi-do","2014","70-79 Years old",239880,130238,109642
"Gyeonggi-do","2014","80 years and over",58051,29612,28439
"Gyeonggi-do","2014","dead",29968,23370,6598
"Gyeonggi-do","2015","Total",2991332,1684388,1306944
"Gyeonggi-do","2015","Under 30 years",63488,33968,29520
"Gyeonggi-do","2015","30-39 Years old",476065,278319,197746
"Gyeonggi-do","2015","40-49 Years old",864535,484546,379989
"Gyeonggi-do","2015","50-59 Years old",795506,447214,348292
"Gyeonggi-do","2015","60-69 Years old",443792,247687,196105
"Gyeonggi-do","2015","70-79 Years old",251371,135648,115723
"Gyeonggi-do","2015","80 years and over",66941,33988,32953
"Gyeonggi-do","2015","dead",29634,23018,6616
"Gyeonggi-do","2016","Total",3069755,1714341,1355414
"Gyeonggi-do","2016","Under 30 years",59230,31778,27452
"Gyeonggi-do","2016","30-39 Years old",468382,274719,193663
"Gyeonggi-do","2016","40-49 Years old",871115,485429,385686
"Gyeonggi-do","2016","50-59 Years old",823191,455790,367401
"Gyeonggi-do","2016","60-69 Years old",476876,263034,213842
"Gyeonggi-do","2016","70-79 Years old",262385,140260,122125
"Gyeonggi-do","2016","80 years and over",77242,39010,38232
"Gyeonggi-do","2016","dead",31334,24321,7013
"Gyeonggi-do","2017","Total",3169606,1760672,1408934
"Gyeonggi-do","2017","Under 30 years",60698,32656,28042
"Gyeonggi-do","2017","30-39 Years old",465594,274381,191213
"Gyeonggi-do","2017","40-49 Years old",884609,493345,391264
"Gyeonggi-do","2017","50-59 Years old",850350,463564,386786
"Gyeonggi-do","2017","60-69 Years old",508833,278603,230230
"Gyeonggi-do","2017","70-79 Years old",280421,149268,131153
"Gyeonggi-do","2017","80 years and over",86868,43941,42927
"Gyeonggi-do","2017","dead",32233,24914,7319
"Gyeonggi-do","2018","Total",3307703,1823763,1483940
"Gyeonggi-do","2018","Under 30 years",63450,34062,29388
"Gyeonggi-do","2018","30-39 Years old",477730,281349,196381
"Gyeonggi-do","2018","40-49 Years old",897411,501193,396218
"Gyeonggi-do","2018","50-59 Years old",891234,478096,413138
"Gyeonggi-do","2018","60-69 Years old",549564,298135,251429
"Gyeonggi-do","2018","70-79 Years old",296854,156216,140638
"Gyeonggi-do","2018","80 years and over",98123,49323,48800
"Gyeonggi-do","2018","dead",33337,25389,7948
"Gyeonggi-do","2019","Total",3454042,1891708,1562334
"Gyeonggi-do","2019","Under 30 years",63548,33719,29829
"Gyeonggi-do","2019","30-39 Years old",480297,282760,197537
"Gyeonggi-do","2019","40-49 Years old",917841,514574,403267
"Gyeonggi-do","2019","50-59 Years old",934583,494963,439620
"Gyeonggi-do","2019","60-69 Years old",599783,321885,277898
"Gyeonggi-do","2019","70-79 Years old",313485,163221,150264
"Gyeonggi-do","2019","80 years and over",110996,55267,55729
"Gyeonggi-do","2019","dead",33509,25319,8190
"Gyeonggi-do","2020","Total",3587339,1949089,1638250
"Gyeonggi-do","2020","Under 30 years",69823,37199,32624
"Gyeonggi-do","2020","30-39 Years old",469018,274536,194482
"Gyeonggi-do","2020","40-49 Years old",934595,525139,409456
"Gyeonggi-do","2020","50-59 Years old",964462,505396,459066
"Gyeonggi-do","2020","60-69 Years old",662507,350987,311520
"Gyeonggi-do","2020","70-79 Years old",329929,170018,159911
"Gyeonggi-do","2020","80 years and over",123602,60839,62763
"Gyeonggi-do","2020","dead",33403,24975,8428
"Gyeonggi-do","2021","Total",3732021,2016017,1716004
"Gyeonggi-do","2021","Under 30 years",78637,42068,36569
"Gyeonggi-do","2021","30-39 Years old",466687,271092,195595
"Gyeonggi-do","2021","40-49 Years old",943905,533634,410271
"Gyeonggi-do","2021","50-59 Years old",994709,519227,475482
"Gyeonggi-do","2021","60-69 Years old",735621,384727,350894
"Gyeonggi-do","2021","70-79 Years old",340720,173635,167085
"Gyeonggi-do","2021","80 years and over",138360,67052,71308
"Gyeonggi-do","2021","dead",33382,24582,8800
"Gyeonggi-do","2022","Total",3815559,2054048,1761511
"Gyeonggi-do","2022","Under 30 years",73223,38906,34317
"Gyeonggi-do","2022","30-39 Years old",438874,253449,185425
"Gyeonggi-do","2022","40-49 Years old",946142,538007,408135
"Gyeonggi-do","2022","50-59 Years old",1023090,533944,489146
"Gyeonggi-do","2022","60-69 Years old",778984,404733,374251
"Gyeonggi-do","2022","70-79 Years old",361105,183132,177973
"Gyeonggi-do","2022","80 years and over",156804,74953,81851
"Gyeonggi-do","2022","dead",37337,26924,10413
"Gyeonggi-do","2023","Total",3944046,2117116,1826930
"Gyeonggi-do","2023","Under 30 years",67407,35752,31655
"Gyeonggi-do","2023","30-39 Years old",435774,250784,184990
"Gyeonggi-do","2023","40-49 Years old",955457,547332,408125
"Gyeonggi-do","2023","50-59 Years old",1058810,552486,506324
"Gyeonggi-do","2023","60-69 Years old",834396,430957,403439
"Gyeonggi-do","2023","70-79 Years old",383115,192808,190307
"Gyeonggi-do","2023","80 years and over",172445,80841,91604
"Gyeonggi-do","2023","dead",36642,26156,10486
"Gangwon State","2012","Total",361897,216477,145420
"Gangwon State","2012","Under 30 years",7545,4483,3062
"Gangwon State","2012","30-39 Years old",44883,25505,19378
"Gangwon State","2012","40-49 Years old",81527,46686,34841
"Gangwon State","2012","50-59 Years old",98347,58626,39721
"Gangwon State","2012","60-69 Years old",64147,38750,25397
"Gangwon State","2012","70-79 Years old",45341,27683,17658
"Gangwon State","2012","80 years and over",9844,5770,4074
"Gangwon State","2012","dead",10263,8974,1289
"Gangwon State","2013","Total",378828,224857,153971
"Gangwon State","2013","Under 30 years",6874,4143,2731
"Gangwon State","2013","30-39 Years old",43638,24872,18766
"Gangwon State","2013","40-49 Years old",83067,47110,35957
"Gangwon State","2013","50-59 Years old",103992,61257,42735
"Gangwon State","2013","60-69 Years old",68012,40633,27379
"Gangwon State","2013","70-79 Years old",50611,30487,20124
"Gangwon State","2013","80 years and over",11535,6647,4888
"Gangwon State","2013","dead",11099,9708,1391
