"By the number of household members","By the item of monthly income & expenditure of household","PERIOD","All households","Salary & wage earners' households","Other households",
"1 person","01.Food and soft drinks","2008.3/4","138279.067","121553.774","148622.416",
"1 person","01.Food and soft drinks","2008.4/4","130658.417","118860.808","137875.242",
"1 person","01.Food and soft drinks","2009.1/4","120892.391","117507.828","123010.291",
"1 person","01.Food and soft drinks","2009.2/4","112861.474","101508.163","120620.056",
"1 person","01.Food and soft drinks","2009.3/4","132187.058","113127.42","144670.62",
"1 person","01.Food and soft drinks","2009.4/4","136234.759","126703.122","142519.041",
"1 person","01.Food and soft drinks","2010.1/4","124161.154","116231.776","129301.537",
"1 person","01.Food and soft drinks","2010.2/4","115462.768","100800.06","126816.268",
"1 person","01.Food and soft drinks","2010.3/4","150781.245","139566.312","160068.947",
"1 person","01.Food and soft drinks","2010.4/4","145384.925","129960.255","158274.861",
"1 person","01.Food and soft drinks","2011.1/4","138202.235","130950.291","143611",
"1 person","01.Food and soft drinks","2011.2/4","129272.613","118690.299","138041.105",
"1 person","01.Food and soft drinks","2011.3/4","163633.595","144574.521","179527.496",
"1 person","01.Food and soft drinks","2011.4/4","154725.381","134294.495","170086.433",
"1 person","01.Food and soft drinks","2012.1/4","141621.275","133046.24","147734.236",
"1 person","01.Food and soft drinks","2012.2/4","136695.896","128212.535","143712.136",
"1 person","01.Food and soft drinks","2012.3/4","178181.3","164372.941","188333.979",
"1 person","01.Food and soft drinks","2012.4/4","156571.385","135949.82","170758.611",
"1 person","01.Food and soft drinks","2013.1/4","145762.566","139701.814","149529.55",
"1 person","01.Food and soft drinks","2013.2/4","139212.1","131991.47","144633.924",
"1 person","01.Food and soft drinks","2013.3/4","169448.832","159238.718","176787.301",
"1 person","01.Food and soft drinks","2013.4/4","165701.739","149767.714","176495.168",
"1 person","01.Food and soft drinks","2014.1/4","154390.637","152953.434","155214.096",
"1 person","01.Food and soft drinks","2014.2/4","147604.456","143883.736","150014.658",
"1 person","01.Food and soft drinks","2014.3/4","171804.781","164149.111","177307.08",
"1 person","01.Food and soft drinks","2014.4/4","162525.889","152621.061","170404.207",
"1 person","01.Food and soft drinks","2015.1/4","153537.682","147639.401","157349.559",
"1 person","01.Food and soft drinks","2015.2/4","145071.963","138790.258","149966.384",
"1 person","01.Food and soft drinks","2015.3/4","174561.099","161408.251","184697.925",
"1 person","01.Food and soft drinks","2015.4/4","160320.034","148231.792","169713.781",
"1 person","01.Food and soft drinks","2016.1/4","156474.224","150607.76","160185.116",
"1 person","01.Food and soft drinks","2016.2/4","144115.268","144455.977","143856.148",
"1 person","01.Food and soft drinks","2016.3/4","168805.311","162926.383","173290.629",
"1 person","01.Food and soft drinks","2016.4/4","165349.723","159702.689","169721.618",
"1 person","02.Alcoholic beverages and tobacco","2006.1/4","15152.823","19810.781","11614.907",
"1 person","02.Alcoholic beverages and tobacco","2006.2/4","15508.468","21705.151","10676.555",
"1 person","02.Alcoholic beverages and tobacco","2006.3/4","16474.707","23806.503","10781.931",
"1 person","02.Alcoholic beverages and tobacco","2006.4/4","16228.237","23202.766","11089.955",
"1 person","02.Alcoholic beverages and tobacco","2007.1/4","15770.555","22785.841","11109.086",
"1 person","02.Alcoholic beverages and tobacco","2007.2/4","16754.023","24696.612","10943.035",
"1 person","02.Alcoholic beverages and tobacco","2007.3/4","17211.309","24457.914","12194.439",
"1 person","02.Alcoholic beverages and tobacco","2007.4/4","16358.163","24353.836","11019.062",
"1 person","02.Alcoholic beverages and tobacco","2008.1/4","17813.575","26229.363","12248.531",
"1 person","02.Alcoholic beverages and tobacco","2008.2/4","17581.629","26653.364","11664.09",
"1 person","02.Alcoholic beverages and tobacco","2008.3/4","17285.303","26889.685","11345.707",
"1 person","02.Alcoholic beverages and tobacco","2008.4/4","16130.978","25384.834","10470.216",
"1 person","02.Alcoholic beverages and tobacco","2009.1/4","15444.743","24495.035","9781.498",
"1 person","02.Alcoholic beverages and tobacco","2009.2/4","17381.971","27297.549","10605.903",
"1 person","02.Alcoholic beverages and tobacco","2009.3/4","19199.345","26125.613","14662.822",
"1 person","02.Alcoholic beverages and tobacco","2009.4/4","17760.155","25616.967","12580.098",
"1 person","02.Alcoholic beverages and tobacco","2010.1/4","16807.758","22778.29","12937.237",
"1 person","02.Alcoholic beverages and tobacco","2010.2/4","18407.873","24345.534","13810.274",
"1 person","02.Alcoholic beverages and tobacco","2010.3/4","19417.229","22627.696","16758.466",
"1 person","02.Alcoholic beverages and tobacco","2010.4/4","18470.81","23226.115","14496.943",
"1 person","02.Alcoholic beverages and tobacco","2011.1/4","17455.334","21960.413","14095.281",
"1 person","02.Alcoholic beverages and tobacco","2011.2/4","16927.829","22099.816","12642.326",
"1 person","02.Alcoholic beverages and tobacco","2011.3/4","18719.633","25713.726","12887.061",
"1 person","02.Alcoholic beverages and tobacco","2011.4/4","16282.948","23297.008","11009.395",
"1 person","02.Alcoholic beverages and tobacco","2012.1/4","15323.223","21750.956","10741.028",
"1 person","02.Alcoholic beverages and tobacco","2012.2/4","15455.864","21311.182","10613.171",
"1 person","02.Alcoholic beverages and tobacco","2012.3/4","17776.26","23433.89","13616.453",
"1 person","02.Alcoholic beverages and tobacco","2012.4/4","16779.142","23512.259","12146.891",
"1 person","02.Alcoholic beverages and tobacco","2013.1/4","16253.794","23822.039","11549.846",
"1 person","02.Alcoholic beverages and tobacco","2013.2/4","16439.778","21683.491","12502.381",
"1 person","02.Alcoholic beverages and tobacco","2013.3/4","15985.913","21000.648","12381.596",
"1 person","02.Alcoholic beverages and tobacco","2013.4/4","15082.424","19090.054","12367.725",
"1 person","02.Alcoholic beverages and tobacco","2014.1/4","14419.827","20725.866","10806.72",
"1 person","02.Alcoholic beverages and tobacco","2014.2/4","15824.21","20885.67","12545.507",
"1 person","02.Alcoholic beverages and tobacco","2014.3/4","16368.743","21171.733","12916.728",
"1 person","02.Alcoholic beverages and tobacco","2014.4/4","14732.11","17936.398","12183.413",
"1 person","02.Alcoholic beverages and tobacco","2015.1/4","15925.158","21507.808","12317.264",
"1 person","02.Alcoholic beverages and tobacco","2015.2/4","16544.088","21322.992","12820.582",
"1 person","02.Alcoholic beverages and tobacco","2015.3/4","18928.402","23404.186","15478.94",
"1 person","02.Alcoholic beverages and tobacco","2015.4/4","17797.233","23602.327","13286.106",
"1 person","02.Alcoholic beverages and tobacco","2016.1/4","18105.345","25878.466","13188.377",
"1 person","02.Alcoholic beverages and tobacco","2016.2/4","17257.76","22631.9","13170.561",
"1 person","02.Alcoholic beverages and tobacco","2016.3/4","19796.985","27276.148","14090.771",
"1 person","02.Alcoholic beverages and tobacco","2016.4/4","17756.721","23252.105","13502.233",
"1 person","03.Clothing and footwear","2006.1/4","41798.189","49975.489","35587.183",
"1 person","03.Clothing and footwear","2006.2/4","39162.85","47922.571","32332.388",
"1 person","03.Clothing and footwear","2006.3/4","30532.965","42237.09","21445.295",
"1 person","03.Clothing and footwear","2006.4/4","49220.037","66924.206","36177.005",
"1 person","03.Clothing and footwear","2007.1/4","42352.961","57642.387","32193.548",
"1 person","03.Clothing and footwear","2007.2/4","47473.582","56828.61","40629.221",
"1 person","03.Clothing and footwear","2007.3/4","39818.774","52571.166","30990.213",
"1 person","03.Clothing and footwear","2007.4/4","50508.433","66874.753","39579.843",
"1 person","03.Clothing and footwear","2008.1/4","51314.494","72001.621","37634.873",
"1 person","03.Clothing and footwear","2008.2/4","44202.3","52063.96","39074.099",
"1 person","03.Clothing and footwear","2008.3/4","40547.802","50048.073","34672.592",
"1 person","03.Clothing and footwear","2008.4/4","54514.85","74115.211","42524.932",
"1 person","03.Clothing and footwear","2009.1/4","43514.99","61390.146","32329.561",
"1 person","03.Clothing and footwear","2009.2/4","47213.541","69906.019","31706.043",
"1 person","03.Clothing and footwear","2009.3/4","43515.6","58570.018","33655.352",
"1 person","03.Clothing and footwear","2009.4/4","72980.551","99652.411","55395.586",
"1 person","03.Clothing and footwear","2010.1/4","47811.992","70582.103","33050.794",
"1 person","03.Clothing and footwear","2010.2/4","56080.559","75406.329","41116.397",
"1 person","03.Clothing and footwear","2010.3/4","49855.669","70339.608","32891.795",
"1 person","03.Clothing and footwear","2010.4/4","72363.519","101131.135","48323.282",
"1 person","03.Clothing and footwear","2011.1/4","53442.676","76508.999","36238.968",
"1 person","03.Clothing and footwear","2011.2/4","57484.892","70437.345","46752.508",
"1 person","03.Clothing and footwear","2011.3/4","47897.407","58019.39","39456.4",
"1 person","03.Clothing and footwear","2011.4/4","68408.866","94894.247","48495.716",
"1 person","03.Clothing and footwear","2012.1/4","61951.172","82575.795","47248.317",
"1 person","03.Clothing and footwear","2012.2/4","64456.665","81288.156","50536.026",
"1 person","03.Clothing and footwear","2012.3/4","54171.206","73320.572","40091.518",
"1 person","03.Clothing and footwear","2012.4/4","77918.946","111275.118","54970.563",
"1 person","03.Clothing and footwear","2013.1/4","57657.539","82028.035","42510.362",
"1 person","03.Clothing and footwear","2013.2/4","61698.075","81899.692","46529.092",
"1 person","03.Clothing and footwear","2013.3/4","44991.805","54869.401","37892.331",
"1 person","03.Clothing and footwear","2013.4/4","64453.151","91667.07","46018.92",
"1 person","03.Clothing and footwear","2014.1/4","55577.556","79746.664","41729.624",
"1 person","03.Clothing and footwear","2014.2/4","61651.651","74035.472","53629.679",
"1 person","03.Clothing and footwear","2014.3/4","47543.086","58850.737","39416.027",
"1 person","03.Clothing and footwear","2014.4/4","68925.407","91475.017","50989.408",
"1 person","03.Clothing and footwear","2015.1/4","52775.595","74958.712","38439.331",
"1 person","03.Clothing and footwear","2015.2/4","57786.314","75235.301","44190.85",
"1 person","03.Clothing and footwear","2015.3/4","53423.365","70535.797","40234.91",
"1 person","03.Clothing and footwear","2015.4/4","73897.654","101245.084","52646.023",
"1 person","03.Clothing and footwear","2016.1/4","60918.569","90614.597","42134.038",
"1 person","03.Clothing and footwear","2016.2/4","68681.586","96413.821","47590.363",
"1 person","03.Clothing and footwear","2016.3/4","51395.181","70799.068","36591.018",
"1 person","03.Clothing and footwear","2016.4/4","72599.179","100352.883","51112.454",
"1 person","04.Housing, water, electricity, gas and other fuels","2006.1/4","158982.238","170146.331","150502.636",
"1 person","04.Housing, water, electricity, gas and other fuels","2006.2/4","132415.981","134739.016","130604.576",
"1 person","04.Housing, water, electricity, gas and other fuels","2006.3/4","124842.087","125762.137","124127.713",
"1 person","04.Housing, water, electricity, gas and other fuels","2006.4/4","143620.077","152855.147","136816.406",
"1 person","04.Housing, water, electricity, gas and other fuels","2007.1/4","162875.346","173448.535","155849.747",
"1 person","04.Housing, water, electricity, gas and other fuels","2007.2/4","145886.394","156428.204","138173.755",
"1 person","04.Housing, water, electricity, gas and other fuels","2007.3/4","132248.776","138374.84","128007.664",
"1 person","04.Housing, water, electricity, gas and other fuels","2007.4/4","156982.703","163790.386","152436.881",
"1 person","04.Housing, water, electricity, gas and other fuels","2008.1/4","189938.982","204926.103","180028.561",
"1 person","04.Housing, water, electricity, gas and other fuels","2008.2/4","166465.171","182107.981","156261.288",
"1 person","04.Housing, water, electricity, gas and other fuels","2008.3/4","166984.432","154902.192","174456.398",
"1 person","04.Housing, water, electricity, gas and other fuels","2008.4/4","184056.626","180556.97","186197.434",
"1 person","04.Housing, water, electricity, gas and other fuels","2009.1/4","190520.157","194259.36","188180.34",
"1 person","04.Housing, water, electricity, gas and other fuels","2009.2/4","161158.017","172982.614","153077.37",
"1 person","04.Housing, water, electricity, gas and other fuels","2009.3/4","155634.869","167862.835","147625.873",
"1 person","04.Housing, water, electricity, gas and other fuels","2009.4/4","168706.401","191039.864","153981.775",
"1 person","04.Housing, water, electricity, gas and other fuels","2010.1/4","202633.432","220904.433","190788.876",
"1 person","04.Housing, water, electricity, gas and other fuels","2010.2/4","170500.2","184841.071","159395.902",
