"Type","Region","PERIOD","Sales Price Index",
"Total","5MetropolitanCities","2022.12 Month","97.5911371",
"Total","5MetropolitanCities","2023.01 Month","95.9861575",
"Total","5MetropolitanCities","2023.02 Month","94.62453368",
"Total","5MetropolitanCities","2023.03 Month","93.56501074",
"Total","5MetropolitanCities","2023.04 Month","92.88619588",
"Total","5MetropolitanCities","2023.05 Month","92.49334126",
"Total","5MetropolitanCities","2023.06 Month","92.2930349",
"Total","5MetropolitanCities","2023.07 Month","92.15172181",
"Total","5MetropolitanCities","2023.08 Month","92.14566735",
"Total","5MetropolitanCities","2023.09 Month","92.22088841",
"Total","5MetropolitanCities","2023.10 Month","92.26758108",
"Total","5MetropolitanCities","2023.11 Month","92.22107039",
"Total","5MetropolitanCities","2023.12 Month","92.07220689",
"Total","5MetropolitanCities","2024.01 Month","91.91616666",
"Total","5MetropolitanCities","2024.02 Month","91.70313856",
"Total","5MetropolitanCities","2024.03 Month","91.4998125",
"Total","5MetropolitanCities","2024.04 Month","91.36744063",
"Total","5MetropolitanCities","2024.05 Month","91.24279215",
"Total","5MetropolitanCities","2024.06 Month","91.04508359",
"Total","5MetropolitanCities","2024.07 Month","90.87459493",
"Total","5MetropolitanCities","2024.08 Month","90.75601374",
"Total","5MetropolitanCities","2024.09 Month","90.67976426",
"Total","5MetropolitanCities","2024.10 Month","90.54560003",
"Total","5MetropolitanCities","2024.11 Month","90.40532498",
"Total","5MetropolitanCities","2024.12 Month","90.2277542",
"Total","5MetropolitanCities","2025.01 Month","90.03891133",
"Total","5MetropolitanCities","2025.02 Month","89.89326096",
"Total","5MetropolitanCities","2025.03 Month","89.72256261",
"Total","9Provinces","2020.12 Month","94.97924637",
"Total","9Provinces","2021.01 Month","95.71792117",
"Total","9Provinces","2021.02 Month","96.62492459",
"Total","9Provinces","2021.03 Month","97.3688408",
"Total","9Provinces","2021.04 Month","98.10457951",
"Total","9Provinces","2021.05 Month","98.80478137",
"Total","9Provinces","2021.06 Month","100",
"Total","9Provinces","2021.07 Month","100.9433651",
"Total","9Provinces","2021.08 Month","102.030759",
"Total","9Provinces","2021.09 Month","103.0667611",
"Total","9Provinces","2021.10 Month","104.0470419",
"Total","9Provinces","2021.11 Month","104.7596578",
"Total","9Provinces","2021.12 Month","105.1059983",
"Total","9Provinces","2022.01 Month","105.2597882",
"Total","9Provinces","2022.02 Month","105.3349234",
"Total","9Provinces","2022.03 Month","105.4041592",
"Total","9Provinces","2022.04 Month","105.519014",
"Total","9Provinces","2022.05 Month","105.5851668",
"Total","9Provinces","2022.06 Month","105.6385403",
