,Province,Year,Live Births,Fertility Rate,Crude birth rate(per 1000 population),Marriages,Crude marriage rate(per 1000 population),Total number of houses,House owned by ordinary households,Total number of apartments, Apartments owned by ordinary households,House Ownership Rate
95,Gyeongsangbuk-do,2023,10186,0.86,4,8128,3.2,1106957,971187,564089,470713,87.73
96,Gyeongsangnam-do,2017,23849,1.227,7.1,15978,4.8,1193912,1070485,694326,604003,89.66
97,Gyeongsangnam-do,2018,21224,1.122,6.3,14996,4.5,1226708,1098467,726589,630346,89.55
98,Gyeongsangnam-do,2019,19250,1.046,5.7,13613,4.1,1266739,1128065,767442,658400,89.05
99,Gyeongsangnam-do,2020,16823,0.945,5,11900,3.6,1296944,1148689,797850,678742,88.57
100,Gyeongsangnam-do,2021,15562,0.903,4.7,10531,3.2,1306263,1167226,807613,696582,89.36
101,Gyeongsangnam-do,2023,13049,0.799,4,10232,3.1,1321044,1182067,823074,710917,89.48
102,Jeju,2017,5037,1.305,7.8,3654,5.7,221140,192530,70112,53243,87.06
103,Jeju,2018,4781,1.22,7.3,3638,5.5,233068,200587,74199,55842,86.06
104,Jeju,2019,4500,1.145,6.8,3358,5.1,241788,206991,76495,57438,85.61
105,Jeju,2020,3989,1.021,6,2981,4.5,246451,210286,78136,58325,85.33
106,Jeju,2021,3728,0.951,5.6,2661,4.0,249629,214900,79366,60060,86.09
107,Jeju,2023,3222,0.827,4.8,2614,3.9,257878,222794,81519,62088,86.4
